Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,OPP Share,Weight OPP,Pass Comp,Pass ATT,Pass Yards,Pass TDs,Pass INT,Comp %,TD Rate,Yards/ ATT,AY/A,Passing Air Yards,Completed Air Yards,aDOT,QB Rating,CPOE,Rush ATT,Rush Yards,Rush TDs,TD Rate,YPC,Evaded Tackles,Big Runs,Juke Rate,GL ATT,FUM,REC,Targets,Target Share,RZ Targets,Catch Rate,Routes,Yards/ Route,REC Yards,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,TD Rate,YDs/TM Pass ATT,Air Yards,Air Yards MS,WOPR,RACR,YAC,Touches,SCRIM Yards,SCRIM TDs,SCRIM YDs/Play,Fantasy Points,FPOE,PPR Rank
Cole Beasley,BUF,WR,2012,1,25,27,17,53,272,34,64.2%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,4,6,24.00%,0,67%,0,-,45,11.3,7.5,10.7,1,25.00%,1.67,64,23.50%,0.52,0.70,10,4,45,1,0.85,14.5,2.8,18
Cole Kmet,CHI,TE,2020,1,36,39,24,66,240,23,34.8%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,2,2,5.60%,0,100%,0,-,20,10.0,10.0,7.5,1,50.00%,0.51,15,6.30%,0.13,1.33,5,2,20,1,0.30,10.0,5.5,9
Collin Johnson,JAC,WR,2020,1,44,44,21,64,417,15,23.4%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,0.00%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.00%,0.00,-,0,0,0,0,0.00,0.0,0.0,89
Cooper Kupp,LAR,WR,2017,1,37,38,22,60,443,55,91.7%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,3,9,24.30%,0,33%,0,-,11,3.7,1.2,13.3,0,0.00%,0.29,120,27.10%,0.55,0.09,5,3,11,0,0.18,4.1,-11.7,64
Cordarrelle Patterson,CHI,WR,2013,1,36,39,24,66,240,12,18.2%,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,1,0,0.00%,1.0,-,-,-,-,0,1,1,2.80%,0,100%,0,-,8,8.0,8.0,6.0,0,0.00%,0.21,6,2.50%,0.06,1.33,2,2,9,0,0.14,1.9,-0.7,78
Corey Clement,PHI,RB,2017,1,39,40,19,72,381,7,9.7%,0.0%,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,-,0,0,0,0,0.00%,0,-,0,-,0,-,-,-,0,-,0.00,0,0.00%,0.00,-,0,0,0,0,0.00,0.0,0.0,65
Corey Davis,TEN,WR,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Courtland Sutton,DEN,WR,2018,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
Curtis Samuel,CAR,WR,2017,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,-,0,-,0,-,0,-,-,-,0,-,-,0,-,-,-,0,0,0,0,-,0.0,0.0,-
D'Andre Swift,DET,RB,2020,1,31,31,43,77,269,29,37.7%,41.9%,14.5,0,0,0,0,0,-,-,-,-,-,-,-,-,-,14,116,2,14.30%,8.3,0,0,0.00%,0,0,3,4,12.90%,0,75%,0,-,7,2.3,1.8,4.8,0,0.00%,0.23,19,7.10%,0.24,0.37,3,17,123,2,1.60,27.3,6.9,3
